id,name,msg
1,"Donation,childlessness,pre-conception,pre-natal,indecent,contempt,Virgin,Disinheritance,Loan,Sex clinic,Sexual Wellness,Live - in,Friendship,Caste no bar except SC/ST,Invitation Price/Pricing,Party Line,VISA 100 %,Prostitute,Prize chit scheme,money circulation scheme,Chit Funds,Election Campaign,Gay,Lesbian,",It does not comply with the editorial norms of the publication.
2,"Dowry no bar,cryptocurrency,Financial Help to boys in settling down,Want dowry,Pregnancy Termination,Organ Sale,Foetus sex determination,sex determination",This phrase is legally prohibited in India.
3,"Asthma, Appendicitis, Arteriosclerosis, Blindness, Poisoning, Cataract, Deafness, Diabetes, disorders, Menstrual, Prostatic, Dropsy, Epilepsy, Fits, Gangrene, Glaucoma, Hydrocele, Hysteria, Infantile, paralysis, Insanity, Leprosy, Leucoderma, Lockjaw, Locomotor, ataxia, Lupus, Nervous, Obesity, debility, Paralysis, Plague, Pleurisy, Pneumonia, Rheumatism, Ruptures, pox, Trachoma, Tuberculosis, Tumors, Typhoid, fever, Ulcers, gastro, intestinal, Venereal, syphilis, Small pox, Ulcers of gastrointestinal tract, Venereal diseases,impotence,Sterility,Diseases",Name of the Disease or Disorder are not accepted.
4,"Chhatrapati Shivaji Maharaj, Mahatma Gandhi",Name of Dignified Personalities cannot be used within Ad Text as per editorial policies.
5,"Brigade(India), Prime Minister of India, President of India, Chief Justice of India, Chief Minister of (all the states)",Dignified Government Designation cannot be used within Ad Text as per editorial policies.
6,"Optical,Uterus,gland,Kidney,Bladder,Foetus",Terms releated to anatomy or the body structure of organisms are not accepted.
7,"Doner For Fertility Treatment, Disease and disorders of Brain, Optical system, Menstrual flow, Nervous system, Prostatic gland, Female diseases, Stones in Gall, Heart diseases, High blood pressure, low blood pressure, Infantile paralysis, Locomotor ataxia, Nervous debility, Sexual impotence, Sterility in women, Typhoid fever, Blood Poisoning, Bright's Disease,
Miscarriage in women, Organ Transplant, Handicapped,
Retarded,Miscarriage,Cholesterol,Anti-Cholesterol",Medical terms as such cannot be used as per editorial policy.
8,"Ashoka Chakra, Dharma Chakra, National Flag, National Bird, National Embelem, National Anthem","Patriotic symbols/anthems/emblem/idols etc, cannot be used as per editorial policies."
9,"United Nations Organization (UNO), Parliament, Legislature, Auroville, Bharata Scouts & Guides, Tuberculosis Association of India, St. John Ambulance association (India), St.John Ambulance, Supreme Court, State High Court, Central Secretariat, State Secretariat, Rama Krishna Math, Rama Krishna Mission, Sri Sarada Math, Ramakrishna Sarada Mission, National Youth Embelem, Sri Satya Sai Central Trust",Registered organisational names are not accepted as per publication's editorial norms.
10,"Hot,à¤®à¤¸à¤¾à¤œ ,à¤®à¤¸à¤¾à¤œ à¤ªà¤¾à¤°à¤²à¥‹à¤° ,massage ,full body massage,Sexual,Sexy,masseurs,Massage Parlour,Massage Parlour/ SPA,Sexy mind blowing,Extremely beautiful masseurs,Providing elegant gals & guys from high profile culture,Golden touch & heaven on earth,Warm touch restart your energy with Unexpected & sensational massage,Hot,Mind Blowing",Words related to activities connected with physical attraction or intimate physical contact between individuals are not accepted.
11,Mobile Tower,Ads  related to Mobile Tower are not acceptable.
12,"Death due to dowry,Medical negligence due to hospital doctor",Cause of death cannot be mentioned within the ad content.
13,"Death due to dowry,Medical negligence due to hospital doctor",Cause of death cannot be mentioned within the ad content.
14,"Forms and structure of female bust, figure of women,Backward Classes,No Dark Colour,Virgin only",Critical or disrespectful phrases are not accepted.
15,"broadminded,bold",In case of recruitment ads such words does not comply with the editorial norms of the publication
16,"infant milk substitute,infant foods",Phrase related to infant/ baby is prohibited.
17,"The State Govt. Of India,Govt. Of India,Union of India",Phrase related to Government (State or Central) cannot be used.
18,"Cigarettes,Cigars,Cheroots,Beedis,hookha,tobacco,snuff,Gutkas,liquor, alcohol,hookah tobacco,Chewing tobacco,Pan Masala,Pipe tobacco",Words related to addiction & substance abuse are not acceptable.
19,"Lottery,lotteries",Words related to gambling are not acceptable.
20,"Conception in women,Magical recovery,black magic,evil spirits,Magic,Tantrik,evil,Correction of disorders by magic,à¤¬à¥à¤²à¥ˆà¤• à¤®à¥ˆà¤œà¤¿à¤•,à¤œà¤¾à¤¦à¥‚ à¤µà¤¿à¤¶à¥‡à¤·à¤œà¥à¤ž",Words related to supernatural powers or magic for evil and selfish purposes are not accepted.
21,"100% guarantee,100% guaranteed results,amazing remedies,guaranteed results",Words which signifies unreasonable promises or impractical data are not accepted.
